Identity number,Village,Mum's status,Village status,My notes,Timestamp,Name,Neighbourhood,Street address,Transport,Language,Phone number,Email,worries,hopes,questions,travel time,amount of children,Date of birth,Older child,source
A001,,,,,2026-06-01 10:00:00,Siiri,Munkkiniemi,Munkkiniemen puistotie 59,car,"Finnish, English",040 100 7919,,Language barrier at the playground,Coffee walks,Can toddlers join too?,Doesn't matter,2,2026-08-05,05.2023,Midwife
A002,,,,,2026-06-01 10:00:00,Shreya,Nurmijärvi,Punamullantie 47,"bus, train","Hindi, English",+358451015838,,Worried about winter with a newborn,,Can I join if I move in spring?,35,1,2026-07-14,,Word of mouth
A003,,,,,2026-06-01 10:00:00,Tetiana,Oulunkylä,Mäkitorpantie 57,"public transport, walk","Ukrainian, English, Finnish",0451023757,,,Evening meetups after partner is home,,about 20 min,2,2026-07-01,06.2022,Friend
A004,,,,,2026-06-01 10:00:00,Nusrat,Itäkeskus,Itäkatu 1,walk,"Bengali, English, Finnish",0451031676,,,Practise Finnish with other mums,Are meetings in Finnish or English?,45,1,2025-09-16,,Työväenopisto
A005,,,,,2026-06-01 10:00:00,Ubah,Martinlaakso,Louhelantie 50,"public transport, walk",Somali,0451039595,,,,Can toddlers join too?,35,1,2025-06-26,,Family clinic
A006,,,,,2026-06-01 10:00:00,Layla,Inkoo,Rantatie 35,"walk, bus","Arabic, Finnish",+358401047514,,Shy about meeting new people,Practise Finnish with other mums,,35,1,2026-02-20,,Friend
A007,,,,,2026-06-01 10:00:00,Svetlana,Kauklahti,Kauklahdenväylä 58,walk,"Russian, English",+358451055433,,Language barrier at the playground,Weekly meetups,Are partners welcome sometimes?,30,1,2025-02-18,,Family clinic
A008,,,,,2026-06-01 10:00:00,Minna,Vuosaari,Kauppakartanonkatu 6,car,"Finnish, English",0441063352,,Moved here recently for work,Practise Finnish with other mums,,30 minutes,1,2026-04-06,,Library
A009,,,,,2026-06-01 10:00:00,Katri,Pasila,Kyllikinportti 68,"public transport, walk","Finnish, English",0411071271,,Long distance to nearest group,Someone in the same situation,Are partners welcome sometimes?,10,1,2026-08-08,,Työväenopisto
A010,,,,,2026-06-01 10:00:00,Emilia,Punavuori,Tehtaankatu 49,car,"Finnish, English",0441079190,,Long distance to nearest group,Practise Finnish with other mums,,15,1,2026-08-02,,Peer group
A011,,,,,2026-06-01 10:00:00,Noora,Tikkurila,Asematie 31,"bicycle, walk","Finnish, English",+358411087109,,,Evening meetups after partner is home,,20,1,2026-01-03,,Peer group
A012,,,,,2026-06-01 10:00:00,Alina,Kannelmäki,Kanneltie 48,"car, walk","Russian, Finnish",0451095028,,Worried about winter with a newborn,Practise Finnish with other mums,Can I join if I move in spring?,20,1,2026-09-11,,Instagram
A013,,,,,2026-06-01 10:00:00,Anastasia,Töölö,Museokatu 15,"walk, bus","Russian, Swedish",0401102947,,Feeling isolated on parental leave,A group that meets at weekends,Is it free?,15,2,2026-08-05,11.2022,Työväenopisto
A014,,,,,2026-06-01 10:00:00,Sarita,Myyrmäki,Vaskivuorentie 41,"walk, bus",Nepali,0411110866,,Feeling isolated on parental leave,Outdoor walks with prams,Can toddlers join too?,60,1,2025-12-25,,Word of mouth
A015,,,,,2026-06-01 10:00:00,Aino,Kallio,Vaasankatu 22,bicycle,"Finnish, English",0451118785,,Shy about meeting new people,Someone within walking distance,,45 min,1,2025-01-23,,Family clinic
A016,,,,,2026-06-01 10:00:00,Ploy,Herttoniemi,Mekaanikonkatu 48,"bicycle, walk","Thai, English",+358401126704,,"First baby, very little support nearby",Evening meetups after partner is home,Are partners welcome sometimes?,15,1,2024-12-04,,Facebook
A017,,,,,2026-06-01 10:00:00,Roosa,Pornainen,Kirkkotie 24,walk,"Finnish, English",0451134623,,Feeling isolated on parental leave,,Is it free?,20,1,2026-05-10,,Family clinic
A018,,,,,2026-06-01 10:00:00,Isabel,Tuusula,Tuusulantie 50,bus,"Spanish, English",0441142542,,Shy about meeting new people,Someone within walking distance,Are meetings in Finnish or English?,45,1,2026-05-23,,Facebook
A019,,,,,2026-06-01 10:00:00,Pia,Kallio,Porthaninkatu 60,"walk, bus, car",Finnish,0441150461,,"Struggling with sleep, wants company",A group that meets at weekends,Are meetings in Finnish or English?,45 min,1,2026-01-23,,Family clinic
A020,,,,,2026-06-01 10:00:00,Agnieszka,Martinlaakso,Louhelantie 13,"public transport, walk","Polish, English, Finnish",0501158380,,Feeling isolated on parental leave,Baby swimming buddies,Are partners welcome sometimes?,25,1,2025-07-15,,Työväenopisto
A021,,,,,2026-06-01 10:00:00,Greta,Leppävaara,Sellonkuja 1,"public transport, walk","German, English, Finnish",0401166299,,Feeling isolated on parental leave,Friends for the baby too,Can I join if I move in spring?,60,1,2026-07-27,,Friend
A022,,,,,2026-06-01 10:00:00,Milla,Töölö,Topeliuksenkatu 66,"taxi, bus","Finnish, English",+358 41 117 4218,,"Struggling with sleep, wants company",Baby swimming buddies,,15,1,2026-06-04,,Työväenopisto
A023,,,,,2026-06-01 10:00:00,Ubah,Aviapolis,Äyritie 4,tram,Somali,0401182137,,"First baby, very little support nearby",Friends for the baby too,Is it free?,30,1,2025-12-16,,Friend
A024,,,,,2026-06-01 10:00:00,Siiri,Nurmijärvi,Kirkkotie 5,"bus, car, walk","Finnish, English",050 119 0056,,Long distance to nearest group,Weekly meetups,Are partners welcome sometimes?,Doesn't matter,1,2026-05-11,,Työväenopisto
A025,,,,,2026-06-01 10:00:00,Zeynep,Pukinmäki,Eskolantie 10,car,"Turkish, English, Finnish",+46 70 119797,,"First baby, very little support nearby",Someone in the same situation,,about 20 min,1,2024-07-06,,Neuvola
A026,,,,,2026-06-01 10:00:00,Alina,Porvoo,Aleksanterinkatu 36,"walk, bus","Russian, English",0451205894,,,Coffee walks,What if my baby is older than the others?,45 min,2,2025-11-22,02.2021,Työväenopisto
A027,,,,,2026-06-01 10:00:00,Liis,Porvoo,Rihkamakatu 57,"bicycle, walk","Estonian, English, Finnish",0401213813,,Long distance to nearest group,Someone within walking distance,,about 20 min,2,2026-02-18,08.2021,Word of mouth
A028,,,,,2026-06-01 10:00:00,Reetta,Kruununhaka,Snellmaninkatu 20,"bus, car, walk","Finnish, English",0401221732,,Worried about winter with a newborn,,Can toddlers join too?,15,1,2026-03-03,,Työväenopisto
A029,,,,,2026-06-01 10:00:00,Magdalena,Inkoo,Rantatie 2,"bus, car, walk","Polish, English, Finnish",0441229651,,Long distance to nearest group,Evening meetups after partner is home,,15,1,2025-12-20,,Työväenopisto
A030,,,,,2026-06-01 10:00:00,Oona,Töölö,Runeberginkatu 51,"bicycle, public transport","Finnish, English, Swedish",0411237570,,"Partner works shifts, often alone",Just someone to talk to,,25,1,2025-10-07,,Instagram
A031,,,,,2026-06-01 10:00:00,Liis,Espoonlahti,Espoonlahdenkatu 15,"bus, bicycle",Estonian,0501245489,,,Someone in the same situation,Can toddlers join too?,35,1,2025-05-09,,Facebook
A032,,,,,2026-06-01 10:00:00,Johanna,Tapiola,Länsituulentie 13,"bicycle, walk","Finnish, English",0441253408,,Feeling isolated on parental leave,Friends for the baby too,,15,1,2025-09-02,,Facebook
A033,,,,,2026-06-01 10:00:00,Iida,Kamppi,Kalevankatu 37,"bus, walk","Finnish, English",0501261327,,Shy about meeting new people,,Are meetings in Finnish or English?,10,3,2024-10-12,09.2022,Facebook
A034,,,,,2026-06-01 10:00:00,Anjali,Tapiola,Merituulentie 42,"bus, bicycle","Hindi, English",+358 45 126 9246,,,Friends for the baby too,,10,1,2026-07-24,,Midwife
A035,,,,,2026-06-01 10:00:00,Yulia,Herttoniemi,Mekaanikonkatu 3,"tram, walk","Russian, English, Finnish",0401277165,,Long distance to nearest group,Friends for the baby too,,Doesn't matter,1,2025-09-25,,Friend
A036,,,,,2026-06-01 10:00:00,Fatima,Malmi,Kirkonkyläntie 35,public transport,"Arabic, English, Finnish",0451285084,,Language barrier at the playground,Someone in the same situation,Is it free?,Doesn't matter,1,2026-08-16,,Midwife
A037,,,,,2026-06-01 10:00:00,Roosa,Askola,Monninkyläntie 25,walk,"Finnish, English",0411293003,,,Friends for the baby too,Can toddlers join too?,about 20 min,1,2025-11-03,,Midwife
A038,,,,,2026-06-01 10:00:00,Fatima,Pasila,Kyllikinportti 35,"train, walk","Arabic, English, Finnish",0401300922,,No family in Finland,Coffee walks,How often do groups meet?,25,2,2026-09-02,07.2022,Facebook
A039,,,,,2026-06-01 10:00:00,Shathi,Hakunila,Laukkarinne 60,"walk, bus","Bengali, English, Finnish",+358501308841,,Moved here recently for work,,Is it free?,45,1,2025-10-07,,Työväenopisto
A040,,,,,2026-06-01 10:00:00,Anni,Hanko,Bulevardi 68,"tram, walk","Finnish, English",0401316760,,,Weekly meetups,Are partners welcome sometimes?,Doesn't matter,1,2025-06-03,,Instagram
A041,,,,,2026-06-01 10:00:00,Anni,Kauklahti,Hansatie 30,"walk, car","Finnish, English",0411324679,,"Struggling with sleep, wants company",Baby swimming buddies,Can toddlers join too?,Doesn't matter,4,2025-11-23,08.2021,Friend
A042,,,,,2026-06-01 10:00:00,Linh,Itäkeskus,Turunlinnantie 58,"bus, car, walk","Vietnamese, English, Finnish",+358 41 133 2598,,"New to Finland, doesn't know anyone yet",Evening meetups after partner is home,Are partners welcome sometimes?,20,4,2026-09-01,12.2022,Friend
A043,,,,,2026-06-01 10:00:00,Veera,Siuntio,Asemantie 7,"bicycle, public transport","Finnish, English",0451340517,,"Partner works shifts, often alone",Evening meetups after partner is home,What if my baby is older than the others?,45,1,2025-04-26,,Library
A044,,,,,2026-06-01 10:00:00,Sofiia,Herttoniemi,Linnanrakentajantie 22,"bus, walk","Ukrainian, English",044 134 8436,,Shy about meeting new people,A group that meets at weekends,,30 minutes,1,2026-08-25,,Family clinic
A045,,,,,2026-06-01 10:00:00,Shirin,Aviapolis,Lentäjäntie 42,tram,"Persian, English, Finnish",0401356355,,"First baby, very little support nearby",,How often do groups meet?,40,3,2025-10-06,12.2022,Doula
A046,,,,,2026-06-01 10:00:00,Laura,Lohja,Karstuntie 60,"bus, car, walk","Finnish, English",0441364274,,Worried about winter with a newborn,Just someone to talk to,,20,1,2025-10-09,,Työväenopisto
A047,,,,,2026-06-01 10:00:00,Charlotte,Kirkkonummi,Kirkkotallintie 60,"bus, car, walk",English,0401372193,,"New to Finland, doesn't know anyone yet",A group that meets at weekends,How often do groups meet?,40,3,2026-08-18,12.2021,Facebook
A048,,,,,2026-06-01 10:00:00,Parisa,Pihlajamäki,Liusketie 11,"car, public transport","Persian, Finnish",0501380112,,Long distance to nearest group,Weekly meetups,,45 min,1,2025-03-22,,Library
A049,,,,,2026-06-01 10:00:00,Katrin,Pukinmäki,Eskolantie 53,"walk, bus, car","Estonian, English, Finnish",0411388031,,,Outdoor walks with prams,How often do groups meet?,30 minutes,1,2025-08-16,,Family clinic
A050,,,,,2026-06-01 10:00:00,Karolina,Kauniainen,Promenadi 20,"walk, car","Polish, English, Swedish",0411395950,,"Struggling with sleep, wants company",,Are partners welcome sometimes?,30,1,2025-01-14,,Doula
A051,,,,,2026-06-01 10:00:00,Giulia,Matinkylä,Piispansilta 7,tram,"Italian, English",0501403869,,Feeling isolated on parental leave,Weekly meetups,,20,1,2026-04-21,,Neuvola
A052,,,,,2026-06-01 10:00:00,Parisa,Herttoniemi,Hiihtomäentie 2,"train, walk","Persian, English",0441411788,,No family in Finland,Someone in the same situation,,60,1,2024-04-05,,Family clinic
A053,,,,,2026-06-01 10:00:00,Nasrin,Otaniemi,Metallimiehenkuja 20,"car, walk",Persian,045 141 9707,,"Struggling with sleep, wants company",Outdoor walks with prams,Are partners welcome sometimes?,30 minutes,2,2025-03-06,06.2022,Facebook
A054,,,,,2026-06-01 10:00:00,Taru,Martinlaakso,Louhelantie 15,"walk, car","Finnish, English",0411427626,,"Partner works shifts, often alone",Someone within walking distance,Can toddlers join too?,30,1,2026-09-07,,Facebook
A055,,,,,2026-06-01 10:00:00,Isabel,Kruununhaka,Mariankatu 8,"walk, bus","Spanish, English",0411435545,,,,Can I join if I move in spring?,30,1,2026-07-28,,Instagram
A056,,,,,2026-06-01 10:00:00,Hodan,Matinkylä,Matinkatu 62,"bicycle, walk","Somali, English",0501443464,,Language barrier at the playground,Evening meetups after partner is home,Are meetings in Finnish or English?,30,1,2026-06-12,,Facebook
A057,,,,,2026-06-01 10:00:00,Ksenia,Kauklahti,Hansatie 4,"walk, bus","Russian, Finnish",0451451383,,No family in Finland,Someone within walking distance,How often do groups meet?,Doesn't matter,1,2026-03-03,,Työväenopisto
A058,,,,,2026-06-01 10:00:00,Heidi,Leppävaara,Leppävaarankatu 20,"walk, bicycle, bus","Finnish, English",044 145 9302,,"New to Finland, doesn't know anyone yet",A group that meets at weekends,,about 20 min,1,2026-06-19,,Family clinic
